institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Middlesex University,10004351,32.0,"Art and Design: History, Practice and Theory",d77ced2e-0382-4a66-85ad-335160ca888d,"Curating Leon Golub: Extending Global Understanding of Golub’s Art, Benefitting the Museum and Gallery Sector, Arts Audiences and the Commercial Art World",D,3.333,High,32.9018987800566,12.202561961338992,16.69311349619647,17.88545954162769,0.0514,-0.4058,0.0,0.2378,0.5574,35,30,18,###; ###  4,4.0,2138,9
School of Oriental and African Studies,10007780,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",cedc3535-1647-40a9-863a-6596aaa6ac5c,Curating new expressions of Mali’s musical heritage: Trio De Kali and the Kronos Quartet,D,4.0,High,42.37063586097949,12.26853272399007,14.922711194201714,15.751576048329774,0.1874,0.0,0.0,0.3808,0.7475,26,26,25,####; ####  Artistic; ####  Artistic; ####  Increasing; ####,0.0,2144,20
Birkbeck College,10007760,32.0,"Art and Design: History, Practice and Theory",c1a8a4f6-f5b6-4ca2-b93e-0adc60572b34,Curating The Fallen Woman at the Foundling Museum,D,3.667,High,33.333378995433804,11.519935616438357,16.376979276825153,16.253102400486178,0.1875,-0.3224,0.0,0.5145,0.8026,14,7,2,"less than £1,500; 25,417; 23,000; 37,320",87237.0,1097,17
Teesside University,10007161,32.0,"Art and Design: History, Practice and Theory",5ebfc0d3-1d94-4643-89fe-50020980d66a,"Curating the Past: Commemoration, Memory and Conversations in Ireland",D,3.625,High,23.628313985387962,12.317361480262209,17.922666924610887,18.473217763926762,0.3167,0.0,0.4081,0.597,0.7697,39,7,8,,0.0,1359,9
University of Sussex,10007806,25.0,Area Studies,6d49f485-4727-4b42-b3a9-05140a4b21f2,Curbing corruption in public procurement and aid,D,3.5,High,22.832319476150445,12.71977767231367,18.296178299604755,20.255687876438664,0.209,-0.2732,0.0772,0.4927,0.773,25,2,7,,0.0,1227,24
Brunel University London,10000961,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",b1031a2a-076c-4876-8d30-25b6e6a1e318,Curing Friedreich ataxia using a genetically-altered mouse,A,3.083,Low,23.177083789704284,14.88319660460022,15.308715981407026,16.95959595959596,0.1047,0.0,0.0,0.3473,0.4767,28,17,17,###; ###  4,4.0,837,19
University of Cambridge,10007788,1.0,Clinical Medicine,32a2a662-94a1-4ae8-80ea-6ae965d79c39,"Curing with less cost: decreasing the intensity of breast cancer therapy, reducing side effects and treatment costs while maintaining survival rates",A,3.8929999999999993,High,28.328099514762755,13.517326870630809,16.781381689641968,20.861015522875817,-0.149,-0.8212,0.0,0.0,0.6457,21,10,13,,0.0,1360,18
The University of Cumbria,10007842,17.0,Business and Management Studies,7b1620e2-5dc3-4f5d-adb1-e85403ee1e2c,Currency innovation research shapes global policy and local enterprise,C,2.25,Low,30.99911734693879,12.023547767470625,16.668027450134296,17.575894704808277,0.2929,-0.2263,0.3818,0.6249,0.765,32,7,6,"###; ###  4; a few dollars; around $900 dollars; $95,600 USD",96504.0,1643,25
School of Oriental and African Studies,10007780,22.0,Anthropology and Development Studies,84100711-77c2-4413-b976-898d7e110dac,Transforming Working Practices in the House of Commons,C,3.75,High,22.232130648899215,12.813238222148652,18.736805548862716,21.168651894033175,0.3559,0.0,0.4019,0.6624,0.8553,34,3,10,####; ####  Enhancing; ####; ####  Increasing,0.0,1731,15
School of Oriental and African Studies,10007780,22.0,Anthropology and Development Studies,84100711-77c2-4413-b976-898d7e110dac,Transforming Working Practices in the House of Commons,C,2.625,Low,22.232130648899215,12.813238222148652,18.736805548862716,21.168651894033175,0.3559,0.0,0.4019,0.6624,0.8553,34,3,10,####; ####  Enhancing; ####; ####  Increasing,0.0,1731,15
University of Stirling,10007804,23.0,Education,b0b5a0f5-d9f0-4417-bc17-d39fb746091c,Curriculum making: transforming policy and practice in three countries,C,3.667,High,14.687835420393583,13.140657205326974,19.20931577065337,21.574063003663007,0.2178,0.0,0.0772,0.4019,0.6249,27,11,11,###; ###  4,4.0,1575,37
The University of Chichester,10007137,12.0,Engineering,3dfe5af7-5c38-4731-8387-7b8b147c036b,Cutting carbon emissions through smart management of renewable energy and electric vehicles,B,2.25,Low,28.904860655737735,13.64772360655738,17.122413403193683,15.942735124760077,0.2171,0.0,0.0513,0.4019,0.6974,16,5,7,###,0.0,1042,13
"University of Salford, The",10007156,12.0,Engineering,ff91a219-1009-4cf1-be8e-2918a8cf9bcc,Cutting hydrocarbon emissions through novel aerosol valve designs,B,3.333,High,28.038534692635437,12.985251795496046,17.873398575512873,20.200109289617487,0.1676,-0.082,0.0,0.3964,0.6988,15,4,5,###; \(19 billion; ###  4,19000000004.0,1647,20
The University of Leicester,10007796,1.0,Clinical Medicine,a3847a44-b0ed-48a7-9dd7-6b4bdafaa320,CvLPRIT: Changing Global Clinical Practice for Patients Presenting with ST Elevation Myocardial Infarction Heart Attack,A,3.75,High,24.264920974450405,13.054244086617812,16.603961321600444,19.10944177473504,0.145,-0.4767,0.0,0.4019,0.6705,33,5,12,###; ###  4,4.0,1381,15
De Montfort University,10001883,11.0,Computer Science and Informatics,ff6f9027-71d7-4813-a89e-63a59f1fc15f,Cyber Incident Response and Risk in Industrial Control Systems,B,1.9,Low,20.556009659969106,13.331299567233385,18.69567845353307,21.03252886836028,0.3919,0.0,0.4853,0.7881,0.8675,48,6,13,###; ###  4,4.0,1299,15
University of East London,10007144,11.0,Computer Science and Informatics,6f9fd4da-5f82-47a1-838b-11bde54c5c02,Cybersecurity and cybercrime prevention,B,3.25,High,18.659271279853044,13.407811339976618,19.54852023548838,22.942053973013493,0.1883,-0.2661,0.1531,0.4404,0.6224,24,8,6,###; ###  4; billions of Euro,4.0,783,30
University of Bedfordshire,10007152,11.0,Computer Science and Informatics,aab6938f-0fae-4bf2-8297-39dbdfca9379,Cyberstalking research and countermeasures adopted by Government bodies and public services,B,2.5,Low,22.46763496790976,13.018564499349806,17.15997941280853,17.92031330645161,0.0389,-0.7423,0.0,0.4404,0.7956,14,2,3,7 \,7.0,800,29
The University of Leeds,10007795,14.0,Geography and Environmental Studies,847d1191-7f25-46ba-a399-b481125edc8f,"Cycle network policy, planning and investment transformed by the Propensity to Cycle Tool",C,3.6,High,33.587190049400164,12.753300203246296,16.672044340135198,18.572740585774056,0.3275,0.0,0.3506,0.5754,0.7909,29,5,12,###; ###  4; over £100; 35; tens of millions of pounds; hundreds of millions of pounds; 175; over €1billion; €5.2 billion,6200000314.0,1434,16
King's College London,10003645,12.0,Engineering,3d28caff-2563-464f-9273-a21e72f83dc6,"CYDAR, an AI driven image guidance system for minimally invasive endovascular aortic surgery that reduces radiation exposure",B,3.75,High,30.496502289879402,13.483942185383475,16.410965303711897,17.29948446667308,0.2158,-0.0567,0.0,0.4939,0.6568,19,6,10,###; ###  ,0.0,843,11
The University of West London,10006566,11.0,Computer Science and Informatics,b72b775d-5af3-4d06-b063-863ba7caceeb,CyMonD: Commercial application of Cyber Monitoring and Defence for the Internet of Things,B,1.0,Low,21.41633682486716,12.708648362377952,18.001758247042904,18.184049369104493,0.3866,0.0,0.4404,0.6583,0.8638,18,2,1,"###; ####  CyMonD; 126,000; ####  Collaborations",126000.0,907,15
University of Cambridge,10007788,1.0,Clinical Medicine,62145261-40e5-4488-8c75-57211c1dd9bb,"Cytosponge®-TFF3: A new cost-effective, minimally-invasive approach to reduce population mortality from oesophageal cancer",A,3.8929999999999993,High,26.856653057601875,12.999660149108015,18.158132088804514,21.509803291673997,0.2433,-0.196,0.0193,0.5852,0.8458,25,9,9,###  ,0.0,1196,12
University of Edinburgh,10007790,4.0,"Psychology, Psychiatry and Neuroscience",c5e6797e-8c1a-49cf-9751-5cabd18dcff8,"D: Adding Functional Neurological Disorders to the global neurology agenda: transforming information, attitudes, diagnosis and patient experience",A,4.0,High,25.13576519129782,13.05550723514212,17.327796561031864,18.318042396313366,0.1821,-0.318,0.0,0.4404,0.8572,33,8,3,#; ###  Diagnostic; ###; ###; 2\; #; ###  New; ###  Patient; #,2.0,1575,29
University of Edinburgh,10007790,1.0,Clinical Medicine,58aa1351-ab13-48ff-8ad5-1ba607d08614,D: De-medicalisation of contraception to improve access and prevent unintended pregnancies,A,3.8079999999999994,High,30.18335929387331,13.581541329179649,16.728156217252725,18.627220677582123,0.3079,0.0,0.2732,0.5994,0.888,26,4,5,#; ###  Emergency; #; ###; ###  ; ###  Post\-abortion; #,0.0,1079,24
University of Edinburgh,10007790,6.0,"Agriculture, Food and Veterinary Sciences",85e7933f-0773-45da-8a03-ddd08a79beb7,D: Foot and mouth disease in Scotland: Improving preparedness and outbreak responses,A,3.545,High,28.205703337051517,13.070955385759435,17.67511768526355,19.49213075506446,0.1315,-0.3818,0.0,0.4353,0.7152,33,4,11,###; ####  Impact; ####  Impact; ####; ####; ####,0.0,1810,20
The London School of Economics and Political Science,10004063,22.0,Anthropology and Development Studies,d87b067b-405a-4de2-9628-43c634c31070,"A social calculus for Covid-19 policy: ensuring equity, social support, and co-production in the UK Government response to the pandemic",C,3.8329999999999997,High,25.55556573999465,12.24416044110186,18.035781590126344,19.607320806926715,0.1381,-0.3093,0.0,0.4117,0.6366,35,5,10,,0.0,1977,14
The London School of Economics and Political Science,10004063,22.0,Anthropology and Development Studies,d87b067b-405a-4de2-9628-43c634c31070,"A social calculus for Covid-19 policy: ensuring equity, social support, and co-production in the UK Government response to the pandemic",C,3.1659999999999995,High,25.55556573999465,12.24416044110186,18.035781590126344,19.607320806926715,0.1381,-0.3093,0.0,0.4117,0.6366,35,5,10,,0.0,1977,14
Trinity Laban Conservatoire of Music and Dance,10008017,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",8232486d-187f-4152-877a-0c0f18c82de7,Dance Science and Health: Transforming Practice,D,3.5,High,18.94908066989035,12.805486265226696,18.10134860736208,21.76432477417196,0.3018,0.0,0.3397,0.5719,0.7914,48,13,10,,0.0,1960,14
Coventry University,10001726,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",9ae80a5f-492f-4d68-8979-aadf7aa2395e,"Dance, digitisation and intangible cultural heritage",D,3.3339999999999996,High,25.386970134874787,12.824725818882467,17.98956254327233,20.090772171253825,0.2011,0.0,0.0,0.4215,0.737,22,2,5,###; ###  4,4.0,872,8
Coventry University,10001726,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",1fdab934-3e3f-44a2-9fa3-5b87358e2cf7,"Dance, Disability and Law",D,3.3339999999999996,High,22.729321791897206,12.406580421202927,18.8141640860857,22.384890929965557,0.2722,0.0,0.0766,0.5911,0.8027,11,3,4,###; ###  4,4.0,871,7
The University of Chichester,10007137,4.0,"Psychology, Psychiatry and Neuroscience",8f4f0040-9938-4e7b-b298-6c34da3e9f26,Dancing Well: Improving Psychological Wellbeing and Creativity in the Performing Arts,A,1.5,Low,24.31596297978652,13.139417283670225,16.995774478081653,19.055235235235237,0.3389,0.0,0.296,0.7002,0.8621,18,4,16,###; ###  4,4.0,972,11
The London School of Economics and Political Science,10004063,28.0,History,bb60c7b8-a776-4f97-b370-68a2269b2f11,Commemorating the First World War,D,3.25,High,25.626399441340794,12.481606040774867,18.072990356931825,19.66982836951035,-0.0272,-0.6257,0.0,0.2892,0.6225,53,13,14,###; ###  4,4.0,1981,20
The London School of Economics and Political Science,10004063,28.0,History,bb60c7b8-a776-4f97-b370-68a2269b2f11,Commemorating the First World War,D,2.5,Low,25.626399441340794,12.481606040774867,18.072990356931825,19.66982836951035,-0.0272,-0.6257,0.0,0.2892,0.6225,53,13,14,###; ###  4,4.0,1981,20
The University of East Anglia,10007789,10.0,Mathematical Sciences,be02a1dc-61db-45b3-835e-cc7968992696,Danger on the seas: Assessing the risk to ships from wave slamming events,B,3.5,High,26.252508815232744,12.765172053193632,16.954822765917157,18.617138827322187,0.0021,-0.7204,0.0,0.4019,0.715,23,4,6,,0.0,1418,37
The University of Chichester,10007137,20.0,Social Work and Social Policy,17378e89-1720-4762-a041-4744fdaf3536,Dangerous Environments: changing child protection practice through early disruption of the street-based grooming processes that lead to long-term abuse,C,0.0,Low,14.956210935063325,13.283920323123947,18.957088677915944,21.491804004740814,0.0102,-0.4848,0.0,0.2732,0.5163,12,6,8,,0.0,943,17
Aston University,10007759,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",ee513c71-a451-4785-9a08-18c0f6922404,Dapagliflozin: a new treatment for type 2 diabetes,A,3.2509999999999994,High,26.480227518959936,13.553144637053089,17.30067935935376,19.494618511569733,0.1219,-0.5987,0.0,0.4672,0.8704,12,4,4,###; ###  4; ####  Impact on Health & Wellbeing 1:; more than $1.54 billion; ####  Impact on Health & Wellbeing; ####  Impact on Health & Wellbeing; ####  Impact on Commerce; $2.7 billion; $0.6 billion,4840000005.0,738,14
King's College London,10003645,9.0,Physics,806c5a19-7381-4a6e-ba55-62f671f2fbd4,Dark matter research changes Science Gallery’s policy and practice,B,2.8329999999999997,Low,34.27899211394546,11.621948129073791,15.918033974702595,17.339257194892525,0.2895,0.0,0.25,0.5824,0.7595,24,24,13,###; ###  4,4.0,2324,38
The University of Reading,10007802,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",ebfc2e5c-c06a-4faf-8424-8dda6b8c8602,DASH 3.3.7 solves challenging crystal structures of industrial importance.,A,2.7,Low,29.810903137374368,12.469357853589198,15.826696769914506,16.718593698175788,0.3136,0.0,0.3291,0.5081,0.7566,18,3,1,4\; #; #; #,4.0,1485,23
Queen's University of Belfast,10005343,10.0,Mathematical Sciences,17332d6d-ea04-47f2-83d0-e4c3512d61ac,Data analytics driven modelling for healthcare management & government policy,B,3.75,High,21.69181773399015,12.972374745484402,19.113126651629432,22.30421774193548,0.2472,0.0,0.2732,0.5023,0.7129,32,5,12,,0.0,1240,16
University of the West of Scotland,10007800,11.0,Computer Science and Informatics,1cb7fb35-2bf0-4ea4-80cd-b910c71ffe23,Data Driven Intelligent and Autonomous Systems,B,2.5,Low,25.325099599860835,13.889460473208072,15.956303952927545,17.89759153713299,0.3032,0.0,0.296,0.6756,0.8533,38,4,11,"###  4; dozens of millions; 2,000,000 \",2000004.0,965,10
Coventry University,10001726,17.0,Business and Management Studies,e1bf71d6-5359-4f6e-acdb-ed912831d766,Data-driven management strategies and operations: Towards a secure digital transformation of business and society,C,3.0840000000000005,Low,15.884962163993691,12.909818274226339,19.36671818967561,21.076649496080627,0.2455,0.0,0.0386,0.6249,0.7618,20,5,6,###; ###  4; ###; 8; ###; €50 million; ###,50000012.0,1175,20
York St John University,10007713,14.0,Geography and Environmental Studies,cfc1fda5-be87-4aee-9309-69812f2756b3,"Days of the New Town: Developing knowledge, resources and audiences around the New Town expansion era of Warrington (UK) through a novel archive-sharing project.",C,0.5,Low,25.64937132661632,12.038894290512175,19.174585242480724,20.880914786967416,0.2047,0.0,0.0,0.4212,0.7814,18,5,9,###; ###  4,4.0,1197,19
Queen's University of Belfast,10005343,18.0,Law,ce8d5972-b1d0-4bed-b009-d7982be60e43,Dealing with the Past in Northern Ireland,C,4.0,High,27.269832365701177,13.236770256475692,17.987409321129135,21.054137490836474,0.1833,-0.2631,0.0,0.5256,0.7302,54,24,6,### 1; ### 1; ### 1; ### 1; ### 1,5.0,2327,17
"St Mary's University, Twickenham",10007843,31.0,Theology and Religious Studies,4cc5f44a-68e6-443b-b7bd-60ca7f19f146,Deciding upon the ‘religion’ question for the Irish Census 2021 and informing the international public understanding and discussion of contemporary religious trends occurring in the UK and Europe,D,3.0,Low,37.899303751803785,12.0899797979798,15.191429946987853,15.3574862695395,0.1188,-0.0103,0.0,0.3453,0.4903,35,3,6,,0.0,1578,17
University of Glasgow,10007794,5.0,Biological Sciences,9644718e-8971-4b8d-8dc1-d669a88a59fe,Deciphering the underlying immunopathology of Guillain–Barré syndrome to drive advances in targeted treatment,A,3.0,Low,21.018506766917312,13.665377724310778,16.997470603643386,18.210898876404492,0.1428,-0.1862,0.0,0.4019,0.6661,25,9,16,,0.0,1602,20
University of St Andrews,10007803,22.0,Anthropology and Development Studies,0cf64c38-2041-45df-ac66-4cf45abe4cca,Decipherment and History: Recovering Peru's Andean Heritage,C,3.0,Low,25.72353961934823,12.092919788154843,17.37919286519448,20.07359259259259,0.1294,0.0,0.0,0.2732,0.4588,17,8,16,,0.0,1560,16
University of Aberdeen,10007783,7.0,Earth Systems and Environmental Sciences,5549ecca-df47-490e-9d06-a27b0265089b,Decision support tools to reduce global greenhouse gas emissions (GHGs),B,3.286,High,28.440270034843223,12.797184608915055,16.755712590429624,18.27754265724281,0.2104,0.0,0.0772,0.4212,0.7184,35,5,14,###; ###  4,4.0,1449,24
University of Cambridge,10007788,29.0,Classics,633106ea-e521-4b7e-85f4-da6e55800ae5,Decoding the Bronze Age Aegean and Cyprus,D,2.9,Low,18.359682539682552,13.480638331644716,19.287186520377343,23.57504780745137,0.2835,0.0,0.2616,0.5064,0.7656,14,8,15,###; ###  4,4.0,1011,14
Birmingham City University,10007140,21.0,Sociology,949e6a85-2299-4f74-8b63-44cafffca3de,Decolonising education and influencing policy and public discussions on racism,C,2.0,Low,15.16853110441221,12.608363341554766,19.50736741931321,21.24243040973456,-0.0436,-0.6249,0.0,0.0,0.5899,32,9,9,,0.0,1359,21
University of East London,10007144,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",fbf4da87-fc3b-4fe6-81f5-0745f208cf5d,Decolonising opera; Restaging BAME heritage,D,2.25,Low,21.220854114713234,13.582210651941574,19.069314709971756,19.95661239495798,0.1837,-0.1909,0.1027,0.3397,0.746,27,15,7,###; ###  4,4.0,816,43
School of Oriental and African Studies,10007780,34.0,"Communication, Cultural and Media Studies, Library and Information Management",f82917fc-bc81-4425-b1ad-56c5e2d3dcfc,Decolonising the University Across Disciplines,D,3.25,High,25.948778606965192,13.201727494274659,17.188890325605854,19.2237844198635,0.1636,-0.1425,0.0,0.4404,0.6261,51,20,23,4\,4.0,1821,22
School of Oriental and African Studies,10007780,19.0,Politics and International Studies,07ca938b-c5e4-4d3e-a79e-daf150da1ad0,Decolonising the University Across Disciplines,C,3.667,High,25.948778606965192,13.201727494274659,17.188890325605854,19.2237844198635,0.1636,-0.1425,0.0,0.4404,0.6261,51,20,23,4\,4.0,1821,22
The University of Birmingham,10006840,32.0,"Art and Design: History, Practice and Theory",f8dc83b5-ef6c-4c75-a66a-9ae43cc487cd,Decolonizing Commemoration through Repatriation and Institutional Change,D,3.75,High,15.32078616197009,13.108784982480383,20.41161998910787,24.346794059357485,0.187,-0.3042,0.0,0.4633,0.7947,28,17,16,\[TEXT; \[TEXT,0.0,1777,20
Bishop Grosseteste University,10007811,27.0,English Language and Literature,0b36bd3c-cb69-426f-86d8-ee6bbc0ee8b7,Deeds and words: reclaiming women’s lives and their legacy in Lincolnshire since 1862,D,2.5,Low,20.720794392523374,13.641174331292298,18.093953686624168,21.23631919368279,0.2574,0.0,0.0772,0.4588,0.7318,27,9,5,,0.0,869,18
The University of Bradford,10007785,11.0,Computer Science and Informatics,7a63b846-753b-41d8-9c71-9af0aa5cf206,Deep face recognition accurately identifies suspects in international criminal investigations,B,3.0,Low,32.48879801670148,11.466768643006263,16.093384419126263,15.458163900414938,-0.0237,-0.718,0.0,0.22,0.5106,17,9,11,###; ###  4,4.0,964,9
University of Southampton,10007158,7.0,Earth Systems and Environmental Sciences,34cf1373-8c3a-479d-a82c-345a8088df54,Deep Impact: engaging public audiences and policymakers with the exploration and stewardship of biodiversity in the deep ocean,B,3.5,High,24.314264873733805,12.95132665144814,17.337707790661167,19.664566697229866,0.3576,0.0,0.3612,0.7003,0.897,39,6,17,###; ###  4; 75 million \,75000004.0,2511,33
University of Cambridge,10007788,27.0,English Language and Literature,c54e8726-0eaa-44ee-8654-7c7a7bea1825,"Deep Time: Public and Media Impacts of Writing About Geology, Politics and the Anthropocene",D,3.5,High,26.75385195206806,12.653289408581369,17.650647597118724,21.188603678929766,0.2473,0.0,0.0,0.4939,0.7545,29,11,22,5,5.0,1196,12
University of Edinburgh,10007790,28.0,History,3451cd3c-674c-4a2d-9319-7f0afdb131fb,Deepening Public Engagement in Medieval History Via New Design Strategies for Tabletop Games,D,3.25,High,36.29492130531352,12.081225710575774,16.305620800271974,17.120926208651397,0.2465,-0.1331,0.2616,0.5925,0.7113,20,19,13,"###  Introduction 

 ; USD 7.16 billion; ###  Inspiring; ###  Changing",7160000000.0,1965,18
Glasgow School of Art,10002681,32.0,"Art and Design: History, Practice and Theory",c23a0e6d-3a66-4d37-aed3-1564da105a2c,Deepening Public Understanding of the Global Refugee Crisis though Curatorial and Arts Practice,D,3.5,High,25.459981132533358,12.639134980647198,18.31737166482031,19.876713950973325,0.2394,-0.2961,0.128,0.6279,0.8194,30,32,23,###; ###  4; ####  Enabling; ####; ####  Creating; ####  Enabling; ####  Preserving; ####  Enabling,4.0,2280,18
"St Mary's University, Twickenham",10007843,31.0,Theology and Religious Studies,8c0a7929-8847-4840-ae0b-1f5dd1d1fd6b,'Deepening the discussion on assisted dying',D,3.0,Low,41.04098814229249,11.7673395256917,15.573783180159527,15.219006928406465,0.0224,-0.6705,0.0,0.4115,0.6431,28,14,13,4\; 36 \,40.0,1299,18
Bournemouth University,10000824,11.0,Computer Science and Informatics,71d30910-bd9d-4cc5-9a2d-d0ce207f9f4c,Defeating the pirates: creating a technical guide to support EU law enforcement agencies in combatting audiovisual piracy,B,2.75,Low,8.817718706965337,13.733403906646373,21.786851204258245,24.784744899788464,0.1035,-0.7609,0.0895,0.6242,0.8729,20,0,3,###; ###  4; ####  Impact; ####  Impact; ####,4.0,1033,22
University of Durham,10007143,23.0,Education,2e28ae5a-9925-4014-9fbf-362cb46a0ab4,Defending and improving schooling for disadvantaged pupils,C,4.0,High,33.65512925497754,12.130011881824021,15.879511344127078,16.960976230173998,0.1015,-0.5106,0.0,0.4215,0.7184,77,21,14,####,0.0,2599,18
University of Oxford,10007774,30.0,Philosophy,e857db46-7e14-4c33-8dfa-2e64a57679f4,Defining a New Ethics for the Digital Age,D,2.8759999999999994,Low,25.882288025632903,12.653161624827879,18.18350826911949,19.131666666666668,0.3769,0.0,0.4404,0.7014,0.8256,42,5,6,###; ###  4,4.0,1053,27
The University of Manchester,10007798,5.0,Biological Sciences,4b410370-4b9c-4433-ace1-dfbcf585da77,Defining global antifungal azole resistance in Aspergillus – enhancing diagnostics and driving drug discovery,A,3.611,High,21.166606232023014,13.406371723873443,17.07569102433279,17.762752808988765,0.0917,-0.1674,0.0,0.3334,0.4767,19,16,11,#; #; ###  i\; ###  ii\; ###  ; ###  iv\,0.0,1068,19
Edge Hill University,10007823,18.0,Law,6a3ffad1-51c7-4c8e-a981-6ce4789bb390,Defining the autonomy and specificity of sport in EU law: Shaping the adoption of globally applicable football agent regulations and the EU’s approach to nationality-based eligibility rules in European sport.,C,3.5,High,24.926501758791687,12.72579481041057,17.548309834356075,18.965055212349874,0.1259,-0.3117,0.0,0.3674,0.5375,32,7,8,4\,4.0,2439,12
University of Oxford,10007774,18.0,Law,05057e3b-d0b1-406c-ab3f-f952a5a21186,Defining the right to equality in international human rights law,C,3.8329999999999997,High,11.168030643666924,13.054668105515589,20.247491407343155,21.898775940337224,0.196,0.0,0.128,0.4357,0.6124,33,3,13,###; ###  Informed; ###,0.0,1542,13
The University of Manchester,10007798,2.0,"Public Health, Health Services and Primary Care",4a530851-be0c-4f3c-91d3-c125aa58058b,Definitive multinational efficacy trials and pioneering ‘real-world’ evidence informing the international strategy for managing chronic obstructive pulmonary disease (COPD),A,3.3569999999999998,High,18.653731232622818,13.72644051635112,19.025382018132415,20.891824456309415,0.1677,-0.4767,0.0129,0.4767,0.7881,24,7,7,###  Developing; ###  Methodological; ###  Committee; #; ###  Simpler; ###; ###  ; ###,0.0,1097,25
The University of Westminster,10007165,13.0,"Architecture, Built Environment and Planning",dc58b8cb-051b-44a7-8d33-bdb325827149,Delay Cost Management in European Aviation,C,3.5,High,27.507406726221774,13.325125913970423,17.167772722810437,19.28133054922177,0.1501,-0.339,0.1027,0.3818,0.6497,48,13,10,###; ###  4; $27.3 million; £0.8 billion to £2.2 billion; EUR 1.6 billion; no more than 0.5 minutes; 100\,2427300104.5,2096,25
The London School of Economics and Political Science,10004063,28.0,History,18c6f062-bcda-4137-9ed6-a63ef98ae933,Currency revolutions in Africa: creating an open access online resource,D,3.25,High,20.22967507804745,12.15742192665698,18.182660109549865,20.709539091474262,0.128,-0.0129,0.0,0.3612,0.5646,20,7,11,###; ###  4,4.0,1971,22
The London School of Economics and Political Science,10004063,28.0,History,18c6f062-bcda-4137-9ed6-a63ef98ae933,Currency revolutions in Africa: creating an open access online resource,D,2.5,Low,20.22967507804745,12.15742192665698,18.182660109549865,20.709539091474262,0.128,-0.0129,0.0,0.3612,0.5646,20,7,11,###; ###  4,4.0,1971,22
Canterbury Christ Church University,10001143,24.0,"Sport and Exercise Sciences, Leisure and Tourism",b1d3d4c5-e7bc-4e02-b45c-2a730fc82081,"Delivering Changes 4 Life! Increasing investment, raising physical activity levels, and delivering a long-term embedded systems change in school sport provision for the least active",C,3.5,High,26.432283728416763,12.71456326016974,18.669449996058646,24.595089388696657,0.3788,0.0,0.3918,0.7483,0.8625,19,5,4,###; ###  4; £13.5 MILLION; 5.1million,18600004.0,1156,24
University of Southampton,10007158,1.0,Clinical Medicine,8dfb8881-06d5-4a94-b60b-9613956fe5fc,Delivering clinical and commercial impact through novel monoclonal antibody cancer treatments,A,3.6,High,31.584298318349767,13.376779572895757,16.436152369994556,17.84413256862409,0.2272,-0.2182,0.1636,0.5994,0.6647,24,12,7,###; ###  4; Eighty per cent,4.0,1298,23
University of Southampton,10007158,12.0,Engineering,506a93e3-e1df-40a0-977c-b55521c115cb,"Delivering commercial, economic and environmental impact through the development and optimisation of smart High-Power Fibre Lasers for advanced manufacturing.",B,3.75,High,29.00812642407186,13.568888875485861,16.390658040692905,17.20660973694543,0.2807,0.0,0.25,0.5423,0.8524,14,3,9,,0.0,1698,20
The University of Hull,10007149,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",ec2cd78f-d661-4394-b3ac-a7cf70b65c1b,"Delivering Cultural Innovation and Regeneration through Hull, UK City of Culture 2017",D,3.0,Low,29.46427697918901,12.70893354787957,17.13716650523868,18.705255488807843,0.254,0.0,0.2616,0.4851,0.6651,36,39,17,"300; £20 million; £3 billion; 50,000; 15k; 73k; 14k",3020050402.0,2124,23
University of York,10007167,19.0,Politics and International Studies,f7a6cef6-45bb-4010-a2ca-753f1ca9d008,Delivering Dignity After a Health Crisis: Zika and empowerment of health practices in Brazil,C,3.25,High,26.85923761157281,12.42327509387504,17.977356822491544,21.1041784144308,0.053,-0.7212,0.0,0.4378,0.7632,12,4,6,,0.0,1466,15
University of Southampton,10007158,9.0,Physics,de2f0462-a4b4-4924-be83-929de80328a0,Delivering economic impact through the commercialisation of engineered nonlinear optical materials for laser and quantum technology systems,B,3.5,High,20.598260183788256,13.894949293649706,17.911378432372118,19.96307864942721,0.3085,0.0,0.3291,0.5461,0.6952,30,3,6,"###; ###  4; 2023 \; at least GBP100,000 \",102027.0,1298,21
University of the West of Scotland,10007800,17.0,Business and Management Studies,e0a9eccc-6dae-45ba-bfc0-de54847ef8dc,Delivering GVA and business growth through inter-organisational knowledge exchange,C,2.1659999999999995,Low,16.498591836734732,13.849059727891158,18.297490273855693,22.31765202702703,0.3459,0.0,0.3818,0.6124,0.8311,35,7,7,###; ###  4,4.0,1184,9
