institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Oxford Brookes University,10004930,13.0,"Architecture, Built Environment and Planning",2aefe25b-98c5-4366-bee5-64d9f559eac5,Improving housing energy performance through domestic energy mapping,C,2.5,Low,13.200756936992207,13.866969906484746,19.125716936374108,21.310913666870043,0.3718,0.0,0.3612,0.6427,0.8126,27,4,5,###; ###  4; £1 million,1000004.0,1192,23
"University of Nottingham, The",10007154,5.0,Biological Sciences,b7b0eb55-4c09-4894-8825-f0247bd32f80,Improving patient outcomes and treatment guidelines through the study of Hepatitis C,A,3.2140000000000004,High,22.261254253015778,13.139174919358402,18.48610013084808,21.9543829857663,0.4149,0.0,0.4939,0.7179,0.8875,33,7,5,,0.0,1710,19
University of Cambridge,10007788,6.0,"Agriculture, Food and Veterinary Sciences",5d564082-2d5d-41b5-a169-7f11c137fbaa,Improving the health of flat-faced dog breeds,A,3.5,High,33.59255847566948,12.981998898093034,16.383383859880844,19.618997425718007,0.209,-0.1279,0.0772,0.538,0.731,31,7,5,,0.0,1372,20
The Open University,10007773,17.0,Business and Management Studies,c90a1c87-9575-45fd-a37a-e736c3b739d7,Improving the police forces’ public demand management by using failure demand analysis,C,3.3340000000000005,High,30.914621804903504,12.258607488025799,16.27623348562678,18.52658321612752,0.2092,-0.2405,0.2023,0.4939,0.7453,13,3,4,###; ###  4,4.0,1580,27
Edinburgh Napier University,10007772,13.0,"Architecture, Built Environment and Planning",c28c36bd-ad72-4aa3-865f-17432ddae321,Influencing global housing sound insulation standards and innovative products,C,3.5,High,23.251036384250682,13.207161884147599,18.032203843383318,21.836696147199348,0.0663,-0.25,0.0,0.0,0.5106,15,6,2,###; over EUR7.5 billion; over GBP98 billion,105500000000.0,1093,22
Middlesex University,10004351,11.0,Computer Science and Informatics,c223df8c-01cb-401f-9a9d-3386ebae96a5,Intelligent Environments – Engineering and Applications,B,2.5,Low,11.983674019822843,12.799443531269189,20.193941318651902,23.000378940015715,0.449,-0.1014,0.5719,0.7579,0.9024,15,3,6,###; ###  4,4.0,881,11
Royal College of Music,10007778,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",3f91fcbb-1fb1-454d-9ee3-b87de7881607,Music and Maternal Mental Health,D,3.3329999999999997,High,24.589541477997102,12.093513267683651,18.7619673886366,23.268720784153324,0.2952,0.0,0.1531,0.6808,0.8225,24,3,10,"###; ###  4; 282,309",282313.0,1592,13
University of Cambridge,10007788,6.0,"Agriculture, Food and Veterinary Sciences",0eb17497-a615-4f0b-97ad-d7be4543b4d6,Novel diagnostics informing pig herd management on a global scale,A,3.5,High,29.396379777717556,12.494571419535557,17.5058628484301,17.489314177283823,0.1245,-0.4609,0.0,0.4245,0.6838,16,3,14,,0.0,1302,21
Edinburgh Napier University,10007772,24.0,"Sport and Exercise Sciences, Leisure and Tourism",adc80482-fc3c-4952-a37c-f5e9f43d7728,Promoting Policies for Sustainable Mega Sport Events,C,2.8329999999999997,Low,22.158796878767305,13.313433160905683,17.284191186976788,18.583982285440023,0.1936,0.0,0.0,0.4357,0.6296,26,4,12,###; ###  4,4.0,1066,15
University of Cambridge,10007788,5.0,Biological Sciences,8f802bfb-795a-4c66-9357-7532277fd40d,Protecting global food production and woodland environments: forecasting and managing plant disease through epidemiological modelling,A,3.636,High,27.749574363992195,13.002130321434194,17.40111272565924,18.563306578180352,0.0827,-0.5328,0.0,0.4019,0.507,44,7,19,###; ###  4; over GBP230 million,230000004.0,1538,27
